ID;Data;Allenamento;Minuti prima;Minuti V57;Intervento
p15;2026-09-02;Rulli qualità | Q1 forza aerobica;65;57;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p25;2026-09-09;Rulli qualità | Q1 progressione cadenza;65;57;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p35;2026-09-16;Rulli qualità | Q4 scarico;52;48;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p55;2026-09-30;Rulli qualità | Q2 recuperi ridotti;65;64;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p65;2026-10-07;Rulli qualità | Q3 controllato;68;68;Defaticamento esplicitato: 18'
p75;2026-10-14;Rulli qualità | Q4 scarico;52;48;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p85;2026-10-21;Rulli qualità | Q3 4x4;68;68;Defaticamento esplicitato: 18'
p96;2026-10-28;Rulli qualità | Over-under sweet spot;70;68;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p107;2026-11-04;Rulli qualità | Q2 esteso 3x12;72;71;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p110;2026-11-06;Soglia 2x12;58;57;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p118;2026-11-11;Rulli qualità | Q4 scarico;52;48;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p128;2026-11-18;Rulli qualità | Q1 forza resistente;72;65;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p131;2026-11-20;Fartlek lungo variato;62;61;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p139;2026-11-25;Rulli qualità | Q3 5x4;72;72;Defaticamento esplicitato: 15'
p150;2026-12-02;Rulli qualità | Sweet spot 2x20;70;75;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p153;2026-12-04;Soglia 3x10;68;64;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p161;2026-12-09;Rulli qualità | Q4 scarico;52;48;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p171;2026-12-16;Rulli qualità | Q5 VO2;76;60;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p174;2026-12-18;Cruise 5x6;66;63;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p193;2026-12-30;Rulli qualità | Q5 5x4;76;60;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p196;2027-01-01;VO2 introduttivo 4x3;54;51;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p204;2027-01-06;Rulli qualità | Q4 scarico;52;48;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p214;2027-01-13;Rulli qualità | Over-under soglia;76;74;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p217;2027-01-15;Cruise 5x8;72;75;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p225;2027-01-20;Rulli qualità | Q5 6x3;72;72;Defaticamento esplicitato: 12'
p236;2027-01-27;Rulli qualità | Soglia 2x18;70;73;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p239;2027-01-29;VO2 5x4;65;60;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p247;2027-02-03;Rulli qualità | Q4 scarico;52;48;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p257;2027-02-10;Rulli qualità | Q6 ritmo 70.3;80;85;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p268;2027-02-17;Rulli qualità | Ritmo 70.3 2x25;86;87;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p279;2027-02-24;Rulli qualità | Ritmo 70.3 con surges;82;85;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p282;2027-02-26;VO2 controllato 5x4;65;60;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p290;2027-03-03;Rulli qualità | Q4 scarico;52;48;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p300;2027-03-10;Rulli qualità | Ritmo 70.3 3x20;91;101;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p303;2027-03-12;Ritmo 70.3 frazionato;72;74;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p311;2027-03-17;Rulli qualità | Over-under 70.3;88;92;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p322;2027-03-24;Rulli qualità | Q5 ridotto + ritmo;75;69;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p325;2027-03-26;VO2 4x4 + finale Z3;67;63;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p333;2027-03-31;Rulli qualità | Q4 scarico;52;48;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p354;2027-04-14;Rulli qualità | Soglia breve 4x6;74;78;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p368;2027-04-23;VO2 richiamo 4x3;54;51;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p376;2027-04-28;Rulli qualità | Q4 scarico;52;48;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p386;2027-05-05;Rulli qualità | Ritmo 70.3 ridotto;60;65;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p400;2027-05-14;Soglia breve 3x5;50;49;"Somma blocchi; recupero incluso dopo ultima ripetuta"
p408;2027-05-19;Rulli qualità | Ritmo gara breve;55;55;Defaticamento esplicitato: 1'
p411;2027-05-21;Ritmo gara breve;40;43;"Somma blocchi; recupero incluso dopo ultima ripetuta"
